City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bambous Virieux,MU,81.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
3,Butaritari,KI,80.28,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
4,East London,ZA,71.6,few clouds,-33.0153,27.9116,Tu Casa
5,Hobart,AU,61.0,overcast clouds,-42.8794,147.3294,Mantra on Collins Hobart
11,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
12,Hilo,US,69.8,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
13,Bubaque,GW,77.86,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
14,Mar Del Plata,AR,66.0,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
15,Port Elizabeth,ZA,69.8,broken clouds,-33.918,25.5701,39 On Nile Guest House
19,Begang,PH,75.96,moderate rain,6.6909,122.0168,"Busay ,Isabela City ,Basilan"
20,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
21,Hualmay,PE,76.08,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
22,Shwebo,MM,63.54,few clouds,22.5667,95.7,MOON SHINE Guest House
23,Ambon,ID,84.0,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
26,Mareeba,AU,75.2,light rain,-17.0,145.4333,Trinity Plains Tourist Park
27,Puerto Ayora,EC,82.4,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
30,San Felipe,VE,82.99,few clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
34,San Angelo,US,55.0,scattered clouds,31.4638,-100.437,"Motel 6 San Angelo, TX"
35,Hermanus,ZA,73.0,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Kiama,AU,64.99,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
